Código,Departamento,Sección departamento,T.C. (PDI),T.P. (PDI),Total (PDI),ETC (PDI),Tr. Doc. (PDI),Tr. Inv. (PDI),Tr. Aut. (PDI)
305111,TRABAJO SOCIAL Y SERVICIOS SOCIALES,TRABAJO SOCIAL Y SERVICIOS SOCIALES ,14,6,20,"16,25",3,41,99
305112,FISIOTERAPIA,FISIOTERAPIA ,12,29,41,"24,63",2,16,65
305113,ENFERMERÍA,ENFERMERÍA ,39,74,113,"76,63",10,99,296
305114,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",INGENIERÍA TELEMÁTICA ,10,2,12,"11,25",12,15,47
305114,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",TEORÍA DE LA SEÑAL Y COMUNICACIONES ,13,1,14,"13,38",26,38,72
305115,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,ELECTRÓNICA ,20,1,21,"20,75",33,48,93
305115,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,TECNOLOGÍA ELECTRÓNICA ,6,2,8,"6,75",12,16,31
305116,ECOLOGÍA,ECOLOGÍA ,14,0,14,14,37,51,82
305117,ZOOLOGÍA,ZOOLOGÍA ,1,0,1,1,0,0,0
305117,ZOOLOGÍA,ZOOLOGÍA ,24,1,25,"24,63",61,116,197
305118,BIOQUÍMICA Y BIOLOGÍA MOLECULAR I ,BIOQUÍMICA Y BIOLOGÍA MOLECULAR I ,1,0,1,1,0,0,0
305118,BIOQUÍMICA Y BIOLOGÍA MOLECULAR I ,BIOQUÍMICA Y BIOLOGÍA MOLECULAR I ,17,0,17,17,28,56,122
305119,BIOQUÍMICA Y BIOLOGÍA MOLECULAR II ,BIOQUÍMICA Y BIOLOGÍA MOLECULAR II ,19,1,20,"19,5",58,88,156
305120,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,INMUNOLOGÍA ,6,2,8,"6,75",23,23,42
305120,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,BIOQUÍMICA Y BIOLOGÍA MOLECULAR III ,9,1,10,"9,5",17,35,69
305121,ECONOMÍA INTERNACIONAL Y DE ESPAÑA,ECONOMÍA INTERNACIONAL Y DE ESPAÑA ,21,3,24,"22,5",11,50,121
305122,FILOSOFÍA II,FILOSOFÍA ,14,0,14,14,27,47,114
305123,FISICOQUIMICA,FÍSICO QUÍMICA ,15,0,15,15,18,73,133
