World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
229,South China University of Technology,48.7,47.7,53.6,45.0,48.5,45.0,54.0,45.0,51.2
229,Weizmann Institute of Science,48.7,48.1,43.4,52.0,42.9,54.7,44.2,51.6,50.8
231,Graz University of Technology,48.6,48.3,49.5,48.8,47.4,50.1,49.2,47.8,47.9
231,State University of New York- Stony Brook,48.6,50.1,50.9,48.4,48.4,48.1,49.4,45.0,48.9
233,University of the Basque Country,48.5,48.1,54.1,46.9,48.5,47.5,49.4,45.0,48.4
233,University of Oslo,48.5,47.4,47.9,47.0,50.3,48.3,49.7,47.8,50.3
235,Complutense University of Madrid,48.4,52.2,52.5,47.7,47.9,46.1,49.3,45.9,46.1
235,University of Groningen,48.4,47.1,46.9,49.8,46.8,52.8,45.4,49.7,48.4
235,Jilin University,48.4,47.1,49.5,43.9,51.1,43.7,54.4,46.9,51.2
238,National ChungHsing University,48.3,50.5,49.0,47.2,48.8,46.4,49.5,44.0,51.7
238,Queensland University of Technology,48.3,48.1,46.8,51.0,47.8,53.4,49.3,45.9,45.6
238,University of South Florida,48.3,47.4,45.2,50.9,45.9,54.1,48.9,45.9,49.3
238,University of Massachusetts- Amherst,48.3,51.4,47.7,50.6,47.6,49.6,45.6,46.9,47.5
238,Drexel University,48.3,48.1,48.1,51.0,45.2,53.3,48.8,47.8,44.7
243,Clemson University,48.2,45.8,48.8,46.7,47.3,49.4,49.2,46.9,51.2
243,University of Patras,48.2,55.5,50.3,48.8,47.1,45.9,49.2,45.9,44.7
243,Rovira i Virgili University,48.2,46.4,46.5,45.8,51.2,47.1,54.4,47.8,48.4
243,Radboud University Nijmegen,48.2,48.1,46.1,48.1,47.7,49.2,53.8,44.0,50.8
247,Eberhard Karls University of Tubingen,48.1,45.5,45.8,47.4,44.8,51.1,48.7,47.8,53.1
247,The University of Warwick,48.1,47.7,50.6,45.8,47.8,46.2,49.3,43.1,54.0
247,National Chung Cheng University,48.1,50.9,48.5,48.8,45.1,48.0,48.8,45.9,48.9
247,University of Milan,48.1,52.2,46.3,49.9,47.2,48.3,49.2,46.9,46.1
247,University of Helsinki,48.1,47.4,46.9,49.1,45.9,51.4,45.2,46.9,51.2
247,Carleton University,48.1,53.3,48.8,48.5,46.6,46.5,49.1,45.0,47.9
247,Boston College,48.1,39.0,39.5,46.5,42.6,91.1,40.1,49.7,43.2
254,University of Basel,48.0,39.8,40.6,48.2,41.4,83.6,43.6,47.8,44.2
254,Saarland University,48.0,49.0,47.3,48.8,46.0,49.4,49.0,47.8,47.0
254,Dresden University of Technology,48.0,49.1,45.5,47.1,46.1,47.1,53.6,50.6,46.1
