TIPO DE PROYECTO,REFERENCIA,TITULO,ENTIDAD SOLICITANTE,CENTRO,DURACIÓN (AÑOS),COSTES DIRECTOS (EUROS),CONTRATOS PREDOC.,INVESTIGADOR PRINCIPAL
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,TIN2013-47210-P,UN ENFOQUE INTEGRAL BASADO EN COMPUTACION FLEXIBLE PARA EL ANALISIS Y MODELADO DE SERIES TEMPORALES,UNIVERSIDAD DE GRANADA,ESCUELA TECNICA SUPERIOR DE INGENIERIA INFORMATICA,3,38550,0,Jose Manuel Benitez Sanchez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,TIN2013-41585-P,DESARROLLO DE UN ASISTENTE COMPUTACIONAL PARA LA SELECCION OPTIMAL DE PROYECTOS DE INVESTIGACION EN CONCURSOS ALTAMENTE COMPETITIVOS Y CON RECURSOS LIMITADOS,UNIVERSIDAD DE GRANADA,DPTO. CIENCIAS COMPUTACION E INTELIGENCA ARTIFCAL,3,10268,0,Rosa Maria Rodriguez Sanchez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,FEM2013-42041-P,"LAS POETAS HISPANOAMERICANAS: IDENTIDADES, FEMINISMOS, POETICAS (S. XIX-XXI)",UNIVERSIDAD DE GRANADA,DPTO. DE LITERATURA ESPAÑOLA,2,12000,0,Milena Rodriguez Gutierrez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,FIS2013-40661-P,CIENCIA Y TECNOLOGIA DEL COLOR,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,55000,0,Manuel Melgosa Latorre
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,FIS2013-44975-P,ESTUDIO EXPERIMENTAL Y NUMERICO DE FENOMENOS ELECTROMAGNETICOS NATURALES PARA EL DIAGNOSTICO DEL MEDIO AMBIENTE,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,37000,0,Alfonso Salinas Extremera
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,DEP2013-47656-P,EVALUACION FISICA CARDIOVASCULAR Y PSICOLOGICA DE ADOLESCENTES ANDALUCES. MECANISMOS DE PREVENCION Y RIESGO.,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA ACTVIDAD FISICA Y EL DEPORTE,3,45000,0,Juan Carlos De La Cruz Marquez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,EDU2013-41632-P,PENSAMIENTO FUNCIONAL EN ESTUDIANTES DE EDUCACION PRIMARIA COMO APROXIMACION AL PENSAMIENTO ALGEBRAICO,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA EDUCACION,3,47100,0,Maria Consuelo Cañadas Santiago
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,EDU2013-43868-P,LA FORMACION DE LOS DOCENTES DE ESPAÑOL PARA INMIGRANTES EN DIFERENTES CONTEXTOS EDUCATIVOS,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA EDUCACION,3,14200,0,Dimitrinka Georgieva Nikleva
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,EDU2013-44890-P,ESTUDIO DEL BIENESTAR DOCENTE DEL PROFESORADO DE LENGUAS ANTE LOS RETOS DEL PLURILINGUISMO Y LAS AULAS MULTICULTURALES,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA EDUCACION,3,13800,0,Mª Cristina Perez Valverde
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,DER2013-41156-P,DERECHO CONTRACTUAL COMPARADO,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,58000,0,Sixto Alfonso Sanchez Lorenzo
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,DER2013-42960-P,LA DIMENSION CONSTITUCIONAL DEL PROCESO DE INTEGRACION EUROPEA EN EL CONTEXTO DE LA GLOBALIZACION,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,21500,0,Juan Francisco Sanchez Barrilao
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,DER2013-47574-P,JUBILACION Y ENVEJECIMIENTO ACTIVO EN E_ MARCO DE LA SOSTENIBILIDAD DEL SISTEMA DE PENSIONES,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,16000,0,Jose Luis Monereo Perez
