FECHA,AÑO,Doctorando,TITULO_TESIS,APELLIDO1,APELLIDO2,NOMBRE
22-11-2012,2012,"GARCIA GARIJO, AMARANTA",ESTUDIO DE LAS ALTERACIONES INDUCIDAS POR IMAZAMOX EN JUDÍA Y VEZA PARA LA SELECCIÓN DE SIMBIOSIS RHIZOBIUM-LEGUMINOSA TOLERANTES,PALMA,MARTÍN,FRANCISCO
22-11-2012,2012,"GARCIA GARIJO, AMARANTA",ESTUDIO DE LAS ALTERACIONES INDUCIDAS POR IMAZAMOX EN JUDÍA Y VEZA PARA LA SELECCIÓN DE SIMBIOSIS RHIZOBIUM-LEGUMINOSA TOLERANTES,TEJERA,GARCÍA,NOEL AMAURYS
23-11-2012,2012,"LOPEZ CRUZ, OLIMPIA",LAS  POLICROMÍAS DE LA FACHADA DEL PALACIO DE PEDRO I EN LOS REALES ALCÁZARES DE SEVILLA,MEDINA,FLÓREZ,VÍCTOR J.
23-11-2012,2012,"SALCEDO LAGULLON, JOSE LUIS",ESTUDIO DEL EFECTO DE 3 DIFERENTES DOSIS DE TAMOXIFENO SOBRE LA CONCENTRACIÓN PLASMÁTICA DE ENDOXIFENO EN PACIENTES CON CA DE MAMA HORMONODEPENDIENTES PORTADORAS DE UN GEN CYP2D6 METABOLIZADOR LENTO,GÓMEZ,CAPILLA,JOSÉ ANTONIO
23-11-2012,2012,"CANO UBEDA, MARIA JOSE",SINTESIS DE(+)-LIPHAGAL Y MEROSESQUITERPENOS RELACIONADOS: BÚSQUEDA DE MOLÉCULAS CON POTENTE ACTIVIDAD ANTITUMORAL,ÁLVAREZ DE MANZANEDA,ROLDÁN,ENRIQUE
23-11-2012,2012,"ORTEGA-ROLDAN   OLIVIA, BLANCA",INSATISFACCION CORPORAL Y TRASTORNOS DE LA CONDUCTA ALIMENTARIA: MECANISMOS EMOCIONALES Y PSICOFISIOLOGICOS,FERNÁNDEZ-SANTAELLA,SANTIAGO,CARMEN
23-11-2012,2012,"PICON RUIZ, MANUEL",AISLAMIENTO Y CARACTERIZACIÓN DE CÉLULAS MADRE / PROGENITORAS Y TUMORALES HUMANAS: POTENCIAL TERAPÉUTICO E IMPLICACIONES EN CARCINOGÉNESIS,MARCHAL,CORRALES,JUAN ANTONIO
23-11-2012,2012,"RODRIGUEZ DIAZ, FRANCISCO JAVIER",HYBRID AND CONSTRUCTIVE METAHEURISTICS: METHODS AND APPLICATIONS,LOZANO,MÁRQUEZ,MANUEL
23-11-2012,2012,"LOPEZ CRUZ, OLIMPIA",LAS  POLICROMÍAS DE LA FACHADA DEL PALACIO DE PEDRO I EN LOS REALES ALCÁZARES DE SEVILLA,SÁNCHEZ,NAVAS,ANTONIO
23-11-2012,2012,"SALCEDO LAGULLON, JOSE LUIS",ESTUDIO DEL EFECTO DE 3 DIFERENTES DOSIS DE TAMOXIFENO SOBRE LA CONCENTRACIÓN PLASMÁTICA DE ENDOXIFENO EN PACIENTES CON CA DE MAMA HORMONODEPENDIENTES PORTADORAS DE UN GEN CYP2D6 METABOLIZADOR LENTO,MIRANDA,LEÓN,MARÍA TERESA
23-11-2012,2012,"LOPEZ CRUZ, OLIMPIA",LAS  POLICROMÍAS DE LA FACHADA DEL PALACIO DE PEDRO I EN LOS REALES ALCÁZARES DE SEVILLA,GARCÍA,BUENO,ANA
