CODIGO,CURSO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA,TASA GRADUACION,TASA ABANDONO
236,2012,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"66,03","73,47",,,,
236,2013,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"73,69","78,91","10,08",,,
236,2014,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"73,54","80,74","20,33","95,51",,
236,2015,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"74,7","81,58","9,76","96,82","29,46","34,88"
237,2011,GRADUADO/A EN INGENIERÍA CIVIL,"72,86","82,21",,,,
237,2012,GRADUADO/A EN INGENIERÍA CIVIL,"55,76","71,17",,,,
237,2013,GRADUADO/A EN INGENIERÍA CIVIL,"61,61","74,69","7,49",,,
237,2014,GRADUADO/A EN INGENIERÍA CIVIL,"61,39","75,37","13,54","97,06",,
237,2015,GRADUADO/A EN INGENIERÍA CIVIL,"57,24","71,55","16,49","96,93","34,41","19,35"
238,2011,GRADUADO/A EN TURISMO,"74,29","83,2",,,,
238,2012,GRADUADO/A EN TURISMO,"79,86","86,68",,,,
238,2013,GRADUADO/A EN TURISMO,"84,45","89,55","11,85",,,
238,2014,GRADUADO/A EN TURISMO,"81,09","87,3","12,12","95,85",,
238,2015,GRADUADO/A EN TURISMO,"81,59","88,1","4,29","97,43","30,37","30,37"
239,2011,GRADUADO/A EN ECONOMÍA,"57,55","67,03",,,,
239,2012,GRADUADO/A EN ECONOMÍA,61,"71,19",,,,
239,2013,GRADUADO/A EN ECONOMÍA,"65,24","74,03","15,06",,,
239,2014,GRADUADO/A EN ECONOMÍA,"64,89","74,99","16,67","94,86",,
239,2015,GRADUADO/A EN ECONOMÍA,"68,12","78,1","12,93","97,11","23,43","33,05"
241,2011,GRADUADO/A EN FISIOTERAPIA,"84,74","97,01",,,,
241,2012,GRADUADO/A EN FISIOTERAPIA,"88,85","94,98",,,,
241,2013,GRADUADO/A EN FISIOTERAPIA,"90,9","96,11","7,84",,,
241,2014,GRADUADO/A EN FISIOTERAPIA,"89,27","96,69","15,38","98,26",,
241,2015,GRADUADO/A EN FISIOTERAPIA,"93,88","98,08","16,07","99,27","70,59","17,65"
242,2011,GRADUADO/A EN DERECHO,"67,05","76,16",,,,
242,2012,GRADUADO/A EN DERECHO,"63,67","74,43",,,,
242,2013,GRADUADO/A EN DERECHO,"67,74","78,14","10,63",,,
242,2014,GRADUADO/A EN DERECHO,"70,5","79,96",17,"95,4",,
242,2015,GRADUADO/A EN DERECHO,"69,09","79,92","16,3","96,02","29,98","28,6"
243,2011,GRADUADO/A EN TERAPIA OCUPACIONAL,"79,33","90,24",,,,
243,2012,GRADUADO/A EN TERAPIA OCUPACIONAL,"88,52","94,62",,,,
243,2013,GRADUADO/A EN TERAPIA OCUPACIONAL,"92,7","95,58","12,07",,,
243,2014,GRADUADO/A EN TERAPIA OCUPACIONAL,"94,74","97,14","16,67","97,56",,
