CODIGO,CURSO,TITULO,TASA ABANDONO
270,2013,GRADUADO/A EN MATEMÁTICAS,
270,2014,GRADUADO/A EN MATEMÁTICAS,
270,2015,GRADUADO/A EN MATEMÁTICAS,"49,12"
273,2011,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,
273,2012,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,
273,2013,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,
273,2014,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,
273,2015,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"35,09"
276,2011,GRADUADO/A EN FILOLOGÍA CLÁSICA,
276,2012,GRADUADO/A EN FILOLOGÍA CLÁSICA,
276,2013,GRADUADO/A EN FILOLOGÍA CLÁSICA,
276,2014,GRADUADO/A EN FILOLOGÍA CLÁSICA,
276,2015,GRADUADO/A EN FILOLOGÍA CLÁSICA,"57,89"
277,2011,GRADUADO/A EN ESTUDIOS FRANCESES,
277,2012,GRADUADO/A EN ESTUDIOS FRANCESES,
277,2013,GRADUADO/A EN ESTUDIOS FRANCESES,
277,2014,GRADUADO/A EN ESTUDIOS FRANCESES,
277,2015,GRADUADO/A EN ESTUDIOS FRANCESES,"54,29"
279,2011,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,
279,2012,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,
279,2013,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,
279,2014,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,
279,2015,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"48,39"
283,2011,GRADUADO/A EN FILOLOGÍA HISPÁNICA,
283,2012,GRADUADO/A EN FILOLOGÍA HISPÁNICA,
283,2013,GRADUADO/A EN FILOLOGÍA HISPÁNICA,
283,2014,GRADUADO/A EN FILOLOGÍA HISPÁNICA,
283,2015,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"33,33"
285,2011,GRADUADO/A EN ESTUDIOS INGLESES,
285,2012,GRADUADO/A EN ESTUDIOS INGLESES,
285,2013,GRADUADO/A EN ESTUDIOS INGLESES,
285,2014,GRADUADO/A EN ESTUDIOS INGLESES,
285,2015,GRADUADO/A EN ESTUDIOS INGLESES,"25,71"
286,2011,GRADUADO/A EN LOGOPEDIA,
286,2012,GRADUADO/A EN LOGOPEDIA,
286,2013,GRADUADO/A EN LOGOPEDIA,
286,2014,GRADUADO/A EN LOGOPEDIA,
286,2015,GRADUADO/A EN LOGOPEDIA,"37,1"
287,2011,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,
287,2012,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,
287,2013,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,
287,2014,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,
287,2015,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"21,67"
288,2011,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,
288,2012,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,
288,2013,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,
288,2014,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,
288,2015,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"17,93"
290,2011,GRADUADO/A EN LITERATURAS COMPARADAS,
290,2012,GRADUADO/A EN LITERATURAS COMPARADAS,
