Código,Departamento,Área,Cr. ECTS,Coef. Exp.,Cred. Tot.,Matrículas,Cred. Pon.
305114,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",INGENIERÍA TELEMÁTICA ,"150,00 ","1,60 ","240,00 ","1.178,00 ","11.308,80"
,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",TEORÍA DE LA SEÑAL Y COMUNICACIONES ,"132,00 ","1,60 ","211,20 ","1.108,00 ","10.636,80"
305115,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,ELECTRÓNICA ,"192,00 ","1,60 ","307,20 ","1.648,00 ","15.820,80"
,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,TECNOLOGÍA ELECTRÓNICA ,"216,00 ","1,60 ","345,60 ","1.765,00 ","16.944,00"
305116,ECOLOGÍA,ECOLOGÍA ,"66,00 ","1,80 ","118,80 ","1.863,00 ","20.120,40"
305117,ZOOLOGÍA,ZOOLOGÍA ,"138,00 ","1,80 ","248,40 ","2.947,00 ","34.873,20"
305118,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 1,BIOQUÍMICA Y BIOLOGÍA MOLECULAR I ,"123,00 ","1,80 ","221,40 ","2.257,00 ","24.732,00"
305119,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 2,BIOQUÍMICA Y BIOLOGÍA MOLECULAR II ,"96,00 ","1,80 ","172,80 ","2.656,00 ","28.684,80"
305120,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,INMUNOLOGÍA ,"54,50 ","1,80 ","98,10 ","1.701,00 ","18.687,60"
,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,BIOQUÍMICA Y BIOLOGÍA MOLECULAR III ,"62,50 ","1,80 ","112,50 ","1.773,00 ","20.408,40"
305121,ECONOMÍA INTERNACIONAL Y DE ESPAÑA,ECONOMÍA INTERNACIONAL Y DE ESPAÑA ,"210,00 ","1,00 ","210,00 ","4.224,00 ","25.908,00"
305122,FILOSOFÍA II,FILOSOFÍA ,"192,00 ","1,00 ","192,00 ","1.879,00 ","11.274,00"
305123,FISICOQUIMICA,FÍSICO QUÍMICA ,"72,00 ","1,80 ","129,60 ","2.264,00 ","24.451,20"
305124,INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA,INGENIERÍA DE LA CONSTRUCCIÓN ,"30,00 ","1,60 ","48,00 ","720,00 ","6.633,60"
