Código,Departamento ,Val. Puntos Profesorado ,Val. Cred. Matrícula,Asignación Ej. 2015,Asignación Ej. 2014,% 15-14 ,% Adap. ,Adaptac. ,Distribución Baremo ,Dietas Asist. ,Distribución 2015
305045,"FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR ","5.952,00 ","4.498,56 ","14.800,56 ","13.234,51 ","11,83 ","10,00 ","1.323,45 ","14.557,96 ","0,00 ","14.557,96"
305046,FISIOLOGÍA ,"12.090,00 ","20.409,84 ","36.849,84 ","31.907,22 ","15,49 ","10,00 ","3.190,72 ","35.097,94 ","0,00 ","35.097,94"
305047,GEODINÁMICA ,"7.812,00 ","14.127,70 ","26.289,70 ","21.987,99 ","19,56 ","10,00 ","2.198,80 ","24.186,79 ","0,00 ","24.186,79"
305048,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA ,"4.092,00 ","14.460,34 ","22.902,34 ","18.989,86 ","20,60 ","10,00 ","1.898,99 ","20.888,85 ","0,00 ","20.888,85"
305049,GEOGRAFÍA HUMANA ,"3.906,00 ","7.473,31 ","15.729,31 ","13.752,22 ","14,38 ","10,00 ","1.375,22 ","15.127,44 ","0,00 ","15.127,44"
305050,GEOMETRÍA Y TOPOLOGÍA ,"8.928,00 ","6.516,58 ","19.794,58 ","19.905,45 ","-0,56 ","-0,56 ","0,00 ","19.794,58 ","0,00 ","19.794,58"
305051,HISTORIA DEL ARTE ,"13.764,00 ","16.083,94 ","34.197,94 ","33.717,73 ","1,42 ","1,42 ","0,00 ","34.197,94 ","0,00 ","34.197,94"
305052,HISTORIA CONTEMPORÁNEA ,"4.836,00 ","5.781,60 ","14.967,60 ","15.149,76 ","-1,20 ","-1,20 ","0,00 ","14.967,60 ","0,00 ","14.967,60"
305053,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS ,"5.952,00 ","5.499,12 ","15.801,12 ","16.152,15 ","-2,17 ","-2,17 ","0,00 ","15.801,12 ","0,00 ","15.801,12"
305054,HISTORIA MODERNA Y DE AMÉRICA ,"4.836,00 ","5.055,60 ","14.241,60 ","16.207,22 ","-12,13 ","-5,00 ","-810,36 ","15.396,86 ","1.314,00 ","16.710,86"
305055,INGENIERÍA QUÍMICA ,"10.137,00 ","10.255,87 ","24.742,87 ","25.524,40 ","-3,06 ","-3,06 ","0,00 ","24.742,87 ","0,00 ","24.742,87"
305056,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES ,"11.950,50 ","10.952,83 ","27.253,33 ","24.931,46 ","9,31 ","9,31 ","0,00 ","27.253,33 ","2.628,00 ","29.881,33"
305057,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA ,"8.742,00 ","10.449,12 ","23.541,12 ","22.443,96 ","4,89 ","4,89 ","0,00 ","23.541,12 ","0,00 ","23.541,12"
305058,MATEMÁTICA APLICADA ,"18.228,00 ","18.678,53 ","41.256,53 ","48.728,04 ","-15,33 ","-5,00 ","-2.436,40 ","46.291,64 ","0,00 ","46.291,64"
305059,MEDICINA ,"17.623,50 ","30.366,16 ","52.339,66 ","49.549,85 ","5,63 ","5,63 ","0,00 ","52.339,66 ","0,00 ","52.339,66"
305061,MICROBIOLOGÍA ,"13.392,00 ","24.558,34 ","42.300,34 ","38.150,20 ","10,88 ","10,00 ","3.815,02 ","41.965,22 ","0,00 ","41.965,22"
305062,MINERALOGÍA Y PETROLOGÍA ,"9.300,00 ","4.775,76 ","18.425,76 ","16.342,79 ","12,75 ","10,00 ","1.634,28 ","17.977,07 ","0,00 ","17.977,07"
305063,NUTRICIÓN Y BROMATOLOGÍA ,"7.440,00 ","11.034,14 ","22.824,14 ","20.671,26 ","10,41 ","10,00 ","2.067,13 ","22.738,39 ","0,00 ","22.738,39"
305064,OBSTETRICIA Y GINECOLOGÍA ,"4.231,50 ","6.486,48 ","15.067,98 ","14.652,15 ","2,84 ","2,84 ","0,00 ","15.067,98 ","0,00 ","15.067,98"
305065,PARASITOLOGÍA ,"5.208,00 ","8.845,85 ","18.403,85 ","17.884,61 ","2,90 ","2,90 ","0,00 ","18.403,85 ","0,00 ","18.403,85"
305066,PEDAGOGÍA ,"10.974,00 ","25.688,96 ","41.012,96 ","40.705,18 ","0,76 ","0,76 ","0,00 ","41.012,96 ","10.512,00 ","51.524,96"
305067,"PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGICO ","15.066,00 ","19.150,03 ","38.566,03 ","36.355,80 ","6,08 ","6,08 ","0,00 ","38.566,03 ","5.256,00 ","43.822,03"
305068,PREHISTORIA Y ARQUEOLOGÍA ,"8.184,00 ","8.252,64 ","20.786,64 ","18.767,74 ","10,76 ","10,00 ","1.876,77 ","20.644,51 ","0,00 ","20.644,51"
305069,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN ,"20.832,00 ","58.492,90 ","83.674,90 ","69.832,30 ","19,82 ","10,00 ","6.983,23 ","76.815,53 ","15.768,00 ","92.583,53"
305070,PSICOLOGÍA EXPERIMENTAL ,"12.276,00 ","12.896,40 ","29.522,40 ","28.712,14 ","2,82 ","2,82 ","0,00 ","29.522,40 ","3.942,00 ","33.464,40"
305071,QUÍMICA ANALÍTICA ,"10.788,00 ","11.967,91 ","27.105,91 ","32.390,71 ","-16,32 ","-5,00 ","-1.619,54 ","30.771,17 ","0,00 ","30.771,17"
305072,QUÍMICA FÍSICA ,"7.068,00 ","5.564,59 ","16.982,59 ","18.571,16 ","-8,55 ","-5,00 ","-928,56 ","17.642,60 ","0,00 ","17.642,60"
305073,QUÍMICA INORGÁNICA ,"11.532,00 ","14.425,49 ","30.307,49 ","30.413,19 ","-0,35 ","-0,35 ","0,00 ","30.307,49 ","1.314,00 ","31.621,49"
305074,QUÍMICA ORGÁNICA ,"7.068,00 ","7.888,32 ","19.306,32 ","20.442,92 ","-5,56 ","-5,00 ","-1.022,15 ","19.420,77 ","0,00 ","19.420,77"
305075,RADIOLOGÍA Y MEDICINA FÍSICA ,"5.440,50 ","5.825,56 ","15.616,06 ","14.415,76 ","8,33 ","8,33 ","0,00 ","15.616,06 ","0,00 ","15.616,06"
305076,SOCIOLOGÍA ,"15.205,50 ","34.356,08 ","53.911,58 ","53.273,06 ","1,20 ","1,20 ","0,00 ","53.911,58 ","3.942,00 ","57.853,58"
305077,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL ,"26.226,00 ","26.697,79 ","57.273,79 ","48.644,57 ","17,74 ","10,00 ","4.864,46 ","53.509,03 ","5.256,00 ","58.765,03"
305078,DERECHO PENAL ,"7.579,50 ","10.457,04 ","22.386,54 ","21.114,20 ","6,03 ","6,03 ","0,00 ","22.386,54 ","0,00 ","22.386,54"
305079,LENGUAJES Y SISTEMAS INFORMÁTICOS ,"18.879,00 ","17.897,09 ","41.126,09 ","39.112,04 ","5,15 ","5,15 ","0,00 ","41.126,09 ","1.314,00 ","42.440,09"
305080,FÍSICA TEÓRICA Y DEL COSMOS ,"12.648,00 ","10.539,41 ","27.537,41 ","23.399,42 ","17,68 ","10,00 ","2.339,94 ","25.739,36 ","0,00 ","25.739,36"
305081,INFORMACIÓN Y DOCUMENTACIÓN ,"12.276,00 ","13.362,62 ","29.988,62 ","29.356,58 ","2,15 ","2,15 ","0,00 ","29.988,62 ","0,00 ","29.988,62"
305082,PINTURA ,"12.648,00 ","11.306,59 ","28.304,59 ","27.223,83 ","3,97 ","3,97 ","0,00 ","28.304,59 ","0,00 ","28.304,59"
305083,ESCULTURA ,"8.695,50 ","10.500,34 ","23.545,84 ","23.786,07 ","-1,01 ","-1,01 ","0,00 ","23.545,84 ","0,00 ","23.545,84"
305084,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA ,"5.580,00 ","5.662,27 ","15.592,27 ","14.747,83 ","5,73 ","5,73 ","0,00 ","15.592,27 ","0,00 ","15.592,27"
305085,EDUCACIÓN FÍSICA Y DEPORTIVA ,"21.436,50 ","29.871,07 ","55.657,57 ","51.980,21 ","7,07 ","7,07 ","0,00 ","55.657,57 ","3.942,00 ","59.599,57"
