World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
128,University of Twente,53.2,52.9,49.5,54.7,49.1,52.9,52.2,59.4,52.8
128,Northwestern University,53.2,51.3,46.2,54.5,55.1,54.5,58.8,52.1,55.1
132,University of Bologna,53.1,58.5,52.8,55.5,53.3,49.3,58.6,50.2,49.0
132,Hunan University,53.1,50.5,60.2,46.8,59.7,45.2,65.9,49.3,50.1
134,University of Sao Paulo,52.9,60.9,63.8,52.6,53.5,45.8,52.7,44.7,49.8
135,"University of London, King's College London",52.7,49.6,49.9,49.9,58.8,50.4,59.0,54.8,51.7
136,Charles III University of Madrid,52.6,56.3,58.6,48.0,56.8,43.7,53.0,44.7,59.3
137,Simon Fraser University,52.5,56.2,51.9,57.2,47.5,52.4,48.3,53.0,51.7
137,"State University of New York, Buffalo",52.5,52.1,52.2,51.2,53.7,49.5,58.7,51.1,52.8
139,"University of North Carolina, Chapel Hill",52.4,51.7,49.1,56.4,51.0,56.3,48.7,53.9,51.7
140,University of Virginia,52.3,47.1,45.4,52.4,51.3,58.5,55.7,58.5,50.9
140,Iran University of Science and Technology,52.3,51.0,54.7,46.8,56.0,45.0,65.6,57.6,44.8
142,Monash University,52.2,53.5,52.8,52.6,56.6,50.0,53.0,48.4,52.1
142,University of Birmingham,52.2,50.2,50.0,49.4,54.9,49.1,58.8,47.5,59.3
142,RWTH Aachen University,52.2,54.9,50.8,52.6,67.1,48.9,49.9,49.3,47.8
145,Chongqing University,52.1,52.0,56.5,47.3,56.0,45.0,58.8,52.1,50.5
146,Western University,52.0,51.3,49.1,51.6,50.9,50.8,61.9,53.9,49.0
146,Indian Statistical Institute,52.0,49.1,52.5,48.2,53.4,48.4,58.7,50.2,56.3
146,New Jersey Institute of Technology,52.0,49.1,50.5,50.3,52.9,51.6,62.0,52.1,50.1
149,Utrecht University,51.9,50.8,46.7,54.0,49.3,54.6,55.5,52.1,52.8
150,North Carolina State University,51.8,53.9,50.5,54.6,49.4,51.8,52.2,53.9,47.8
150,University of Utah,51.8,52.6,49.5,52.0,51.2,50.1,52.4,46.6,59.7
150,Royal Institute of Technology,51.8,52.5,55.0,50.1,53.9,48.0,58.7,49.3,49.0
153,University of Surrey,51.6,47.9,49.7,48.4,51.3,50.1,58.5,48.4,59.0
154,National Central University,51.5,56.3,53.7,53.4,48.0,48.8,52.0,49.3,50.1
155,University of Trento,51.4,48.6,51.9,49.5,54.8,51.0,62.2,46.6,50.1
156,VU University Amsterdam,51.2,51.2,52.0,51.0,48.2,50.2,52.0,49.3,54.7
156,University of the Basque Country,51.2,49.2,53.8,47.9,56.7,47.9,56.3,45.6,54.0
156,"Indiana University, Bloomington",51.2,51.8,48.5,55.0,48.0,54.5,48.4,52.1,50.9
159,Humboldt University of Berlin,51.1,48.4,45.0,50.8,48.3,53.4,55.4,58.5,49.4
159,Technical University of Denmark,51.1,50.6,50.8,51.2,50.8,51.1,52.4,53.0,49.4
161,University of Arizona,51.0,54.8,51.4,54.8,48.6,51.2,48.5,50.2,48.2
162,National Tsing Hua University,50.9,59.6,53.5,52.6,51.2,46.3,52.4,42.9,50.5
163,National Technical University of Athens,50.8,54.0,53.9,50.3,51.3,47.1,55.7,48.4,47.5
163,University of Barcelona,50.8,45.7,45.1,53.9,47.5,65.4,51.9,55.7,43.6
163,Shandong University,50.8,52.6,59.0,47.0,51.4,44.3,55.8,44.7,52.1
166,University of Bristol,50.7,50.0,51.7,49.0,52.7,48.7,55.9,49.3,49.8
167,University College Dublin,50.6,47.9,46.1,61.4,44.3,71.9,42.4,47.5,44.4
168,Sungkyunkwan University,50.5,54.3,54.2,46.0,53.8,42.5,62.1,47.5,47.1
168,University of Nottingham,50.5,51.1,48.5,51.8,49.8,51.3,48.6,50.2,52.1
170,University of Ottawa,50.4,55.3,56.4,50.2,50.7,46.3,52.3,44.7,48.6
171,Sharif University of Technology,50.3,53.4,61.1,46.8,51.3,43.6,52.4,46.6,47.1
172,"University of California, San Francisco",50.2,41.8,42.7,49.9,48.7,75.7,48.5,49.3,49.4
172,University of Seville,50.2,53.1,52.5,48.9,51.9,46.3,52.5,47.5,49.8
174,"University of Texas, Dallas",50.1,54.0,52.6,49.2,49.3,45.9,55.5,44.7,51.3
174,Yale University,50.1,49.7,46.6,53.0,46.4,54.8,48.2,49.3,52.1
174,University of Tehran,50.1,54.7,58.9,50.3,50.1,46.7,48.6,48.4,42.9
174,"University of Tennessee, Knoxville",50.1,48.5,48.4,50.8,52.6,53.3,55.9,47.5,47.1
