Posicion,Nombre,Rama,Disciplina,Especialidad,Citas,Indice h,Citas (ultimos 5 años),Indice h (ultimos 5 años),Perfil
845,Agusti­n Millares Valenzuela,Ingenieri­a y Tecnologi­a,"Ingenieri­a de Caminos, Canales y Puertos",Mecanica de Estructuras e Ingenieri­a Hidraulica,112,6,105,5,https://scholar.google.com/citations?user=Cit-NI0AAAAJ&hl=es
846,Gemma Perez Lopez,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Economi­a Financiera y Contabilidad,112,6,111,6,https://scholar.google.com/citations?user=p7DgX1IAAAAJ&hl=es
847,Juan Bonitch Dominguez,Ciencias de la Salud,Ciencias del Deporte,Educacion Fi­sica y Deportiva,112,6,94,5,https://scholar.google.com/citations?user=P9G-yC0AAAAJ&hl=es
848,Diego Becerril Ruiz,Ciencias Sociales y Juri­dicas,Ciencias Poli­ticas y Sociologi­a,Sociologi­a,111,6,59,4,https://scholar.google.com/citations?user=eZElW_YAAAAJ&hl=es
849,Amelina Correa Ramon,Ciencias Humanas y Artes,Filosofi­a y Letras,Literatura Española,110,6,44,3,https://scholar.google.com/citations?user=kQiuoPsAAAAJ&hl=es
850,Maria Jesus Alvarez Cubero,Ciencias de la Salud,Medicina,"Medicina Legal, Toxicologi­a y Antropologi­a Fi­sica",109,6,107,6,https://scholar.google.com/citations?user=Rr7KfLAAAAAJ&hl=es
851,Vanesa Maria Gamiz Sanchez,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica y Organizacion Escolar,109,5,98,5,https://scholar.google.com/citations?user=UVT7jPMAAAAJ&hl=es
852,Maria Teresa Garcia Godoy,Ciencias Humanas y Artes,Filosofi­a y Letras,Lengua Española,109,6,83,4,https://scholar.google.com/citations?user=x-XOfYwAAAAJ&hl=es
853,Fernando Martinez Manrique,Ciencias Humanas y Artes,Filosofi­a y Letras,Filosofi­a,108,5,84,5,https://scholar.google.com/citations?user=VElF8-0AAAAJ&hl=es
854,Eva Muñoz Raya,Ciencias Humanas y Artes,Filosofi­a y Letras,"Filologi­as Romanica, Italiana, Gallego-Portuguesa y Catalana",107,7,67,5,https://scholar.google.com/citations?user=4PYW49MAAAAJ&hl=es
855,Juan Antonio Lopez Nuñez,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica y Organizacion Escolar,107,6,69,5,https://scholar.google.com/citations?user=d5tmtsUAAAAJ&hl=es
856,Jose Gomez Zotano,Ciencias Humanas y Artes,Filosofi­a y Letras,Analisis Geografico Regional y Geografi­a Fi­sica,107,5,83,4,https://scholar.google.com/citations?user=fsCv6KwAAAAJ&hl=es
857,Paloma Paredes Bañuelo,Ciencias Humanas y Artes,Filosofi­a y Letras,Antropologi­a Social,105,3,53,3,https://scholar.google.com/citations?user=W3QnhMcAAAAJ&hl=es
858,Emilio Berrocal De Luna,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Mi©todos de Investigacion y Diagnostico en Educacion,104,4,82,4,https://scholar.google.com/citations?user=4K-Z0XQAAAAJ&hl=es
859,Carlos Rodriguez Dominguez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Lenguajes y Sistemas Informaticos,104,5,104,5,https://scholar.google.com/citations?user=jRDjfmUAAAAJ&hl=es
860,Virginia Fernandez Perez,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Organizacion de Empresas,104,6,102,6,https://scholar.google.com/citations?user=YkMkoB8AAAAJ&hl=es
861,Rafael Gonzalez Cano,Ciencias de la Salud,Farmacia,Farmacologi­a,103,4,103,4,https://scholar.google.com/citations?user=PkGuTooAAAAJ&hl=es
862,Miguel Angel Martin Piedra,Ciencias de la Salud,Medicina,Histologi­a,103,7,102,7,https://scholar.google.com/citations?user=Oj3MtW0AAAAJ&hl=es
863,Oscar Marti­n Rodri­guez,Ciencias Sociales y Juri­dicas,Comunicacion y Documentacion,Informacion y Comunicacion,102,4,82,4,https://scholar.google.com/citations?user=eao-S4IAAAAJ&hl=es
864,Maria De Los Angeles Baeza Muñoz,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Economi­a Financiera y Contabilidad,102,6,94,6,https://scholar.google.com/citations?user=WYFa_iwAAAAJ&hl=es
865,Tm Carmen Herrera Enriquez,Ciencias Sociales y Juri­dicas,Psicologi­a - Sociales,Psicologi­a Social,101,5,99,4,https://scholar.google.com/citations?user=2erKR8IAAAAJ&hl=es
866,Manuel Isidoro Capel Tuñon,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Lenguajes y Sistemas Informaticos,101,5,44,3,https://scholar.google.com/citations?user=bXoIwjwAAAAJ&hl=es
867,Miguel Angel Del Arco Blanco,Ciencias Humanas y Artes,Filosofi­a y Letras,Historia Contemporanea,101,5,79,5,https://scholar.google.com/citations?user=E2xDXR0AAAAJ&hl=es
868,Oscar Daniel Rangel Huerta,Ciencias de la Salud,Farmacia,Bioqui­mica y Biologi­a Molecular - Farmacia,101,3,100,3,https://scholar.google.com/citations?user=b1p1t1IAAAAJ&hl=es
869,Francisco Javier Rodriguez Alcazar,Ciencias Humanas y Artes,Filosofi­a y Letras,Filosofi­a,99,6,35,3,https://scholar.google.com/citations?user=QnY-t54AAAAJ&hl=es
