Código,Departamento,Sección departamento,Cr. Teo. ,Cr. Prac. ,Coef. Exp. ,Cr. Pra. CEx. ,Cred. Tot. ,Matrículas ,Cred. Pon.
305053,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS,CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS ,68,18,"1,2","21,6","89,6",752,"4593,4"
305053,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS,HISTORIA MEDIEVAL ,87,9,1,9,96,1189,7134
305054,HISTORIA MODERNA Y DE AMÉRICA,HISTORIA DE AMÉRICA ,36,0,1,0,36,521,3126
305054,HISTORIA MODERNA Y DE AMÉRICA,HISTORIA MODERNA ,"155,5","8,5",1,"8,5",164,1371,9030
305055,INGENIERÍA QUÍMICA,INGENIERÍA QUÍMICA ,245,39,"1,6","62,4","307,4",3001,"22765,9"
305056,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES ,"243,5","35,5","1,6","56,8","300,3",2674,"18665,1"
305056,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES,INGENIERÍA DE SISTEMAS Y AUTOMÁTICA ,"40,5","1,5","1,6","2,4","42,9",154,"946,5"
305057,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA,LINGÜÍSTICA GENERAL ,498,0,1,0,498,2268,13842
305057,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA,TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA ,198,0,1,0,198,1482,8892
305058,MATEMÁTICA APLICADA,MATEMÁTICA APLICADA ,"277,5",15,"1,2",18,"295,5",6262,"37661,8"
305059,MEDICINA,DERMATOLOGÍA ,12,"8,5",2,17,29,613,"6796,5"
305059,MEDICINA,MEDICINA ,165,"26,5",2,53,218,4001,41152
305061,MICROBIOLOGÍA,MICROBIOLOGÍA ,"181,5","21,5","1,8","38,7","220,2",4732,"32459,5"
305062,MINERALOGÍA Y PETROLOGÍA,CRISTALOGRAFÍA Y MINERALOGÍA ,"95,5",16,"1,8","28,8","124,3",654,"4167,9"
305062,MINERALOGÍA Y PETROLOGÍA,PETROLOGÍA Y GEOQUÍMICA ,62,"6,5","1,8","11,7","73,7",276,"2284,4"
305063,NUTRICIÓN Y BROMATOLOGÍA,NUTRICIÓN Y BROMATOLOGÍA ,165,"1,5","1,8","2,7","167,7",2060,"12330,9"
305064,OBSTETRICIA Y GINECOLOGÍA,OBSTETRICIA Y GINECOLOGÍA ,"38,5",9,2,18,"56,5",564,"4204,5"
305065,PARASITOLOGÍA,PARASITOLOGÍA ,88,"2,5","1,8","4,5","92,5",1632,"9690,7"
305066,PEDAGOGÍA,TEORÍA E HISTORIA DE LA EDUCACIÓN ,487,"17,5",1,"17,5","504,5",6810,"57684,5"
305067,"PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGICO","PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGICOS ","339,5","29,5","1,2","35,4","374,9",6117,"39979,1"
305068,PREHISTORIA Y ARQUEOLOGÍA,ARQUEOLOGÍA ,"98,5","24,5","1,2","29,4","127,9",942,"5980,1"
305068,PREHISTORIA Y ARQUEOLOGÍA,PREHISTORIA ,"128,5","15,5","1,2","18,6","147,1",1334,"8187,5"
305069,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN ,"789,5",18,"1,2","21,6","811,1",12273,"107218,4"
305070,PSICOLOGÍA EXPERIMENTAL,PSICOLOGÍA EXPERIMENTAL ,239,21,"1,2","25,2","264,2",4069,"27316,6"
305071,QUÍMICA ANALÍTICA,QUÍMICA ANALÍTICA ,176,20,"1,8",36,212,2482,"15588,8"
305072,QUÍMICA FÍSICA,QUÍMICA FÍSICA ,"106,5","16,5","1,8","29,7","136,2",1092,"7112,8"
305073,QUÍMICA INORGÁNICA,QUÍMICA INORGÁNICA ,"217,5","24,5","1,8","44,1","261,6",2869,"18641,8"
305074,QUÍMICA ORGÁNICA,QUÍMICA ORGÁNICA ,120,21,"1,8","37,8","157,8",1526,"9993,4"
305075,RADIOLOGÍA Y MEDICINA FÍSICA,RADIOLOGÍA Y MEDICINA FÍSICA ,"62,5",9,"1,8","16,2","78,7",1030,"7863,7"
305076,SOCIOLOGÍA,SOCIOLOGÍA ,566,46,1,46,612,10493,"74411,5"
305077,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL ,"554,5",41,"1,6","65,6","620,1",6208,"40111,2"
305078,DERECHO PENAL,DERECHO PENAL ,134,"4,5",1,"4,5","138,5",3432,20646
305079,LENGUAJES Y SISTEMAS INFORMÁTICOS,LENGUAJES Y SISTEMAS INFORMÁTICOS ,429,39,"1,6","62,4","491,4",4201,"28132,2"
305080,FÍSICA TEÓRICA Y DEL COSMOS,ASTRONOMÍA Y ASTROFÍSICA ,46,5,"1,6",8,54,799,"4804,2"
305080,FÍSICA TEÓRICA Y DEL COSMOS,FÍSICA DE LA TIERRA ,28,7,"1,6","11,2","39,2",585,"3611,2"
305080,FÍSICA TEÓRICA Y DEL COSMOS,FÍSICA TEÓRICA ,"87,5","8,5","1,4","11,9","99,4",1291,"7824,2"
305081,INFORMACIÓN Y DOCUMENTACIÓN,BIBLIOTECONOMÍA Y DOCUMENTACIÓN ,317,41,"1,2","49,2","366,2",3076,"19263,6"
305081,INFORMACIÓN Y DOCUMENTACIÓN,COMUNICACIÓN AUDIOVISUAL Y PUBLICIDAD ,150,0,"1,2",0,150,1365,8190
305082,PINTURA,PINTURA ,240,0,"1,2",0,240,3546,21276
305083,ESCULTURA,ESCULTURA ,156,0,"1,4",0,156,2820,16920
305084,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,CIENCIA DE LOS MATERIALES E INGENIERÍA METALÚRGICA ,5,"2,5","1,6",4,9,36,324
305084,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,ELECTROMAGNETISMO ,72,"1,5","1,6","2,4","74,4",783,5439
305084,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,FÍSICA DE LA MATERIA CONDENSADA ,47,"2,5","1,6",4,51,397,2877
305085,EDUCACIÓN FÍSICA Y DEPORTIVA,EDUCACIÓN FÍSICA Y DEPORTIVA ,"656,5","217,5","1,4","304,5",961,6945,"54136,2"
